Depositante;Estado;Ano;Depósitos
PETROBRAS;Rio de Janeiro;1993;51
CONSUL S A;Santa Catarina;1993;24
CSN;Rio de Janeiro;1993;19
EMBRACO;Santa Catarina;1993;17
CLAUDIO LOURENCO LORENZETTI;São Paulo;1993;13
UNICAMP;São Paulo;1993;13
MARIA ALICE UCHOA LACERDA MOTTA;Paraná;1993;12
MENDES JUNIOR SIDERURGIA S A;Minas Gerais;1993;12
USIMINAS;Minas Gerais;1993;12
JULIO GUIDO SIGNORETTI;Mato Grosso do Sul;1993;11
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1993;10
FREIOS VARGA S A;São Paulo;1993;10
ORLANDO SOBRINHO LEMOS;Rio de Janeiro;1993;10
ALCAN ALUMINIO DO BRASIL S A;São Paulo;1993;9
AMP DO BRASIL CONECTORES ELETRICOS E ELETRONICOS LTDA;São Paulo;1993;9
CSN;Rio de Janeiro;1994;30
PETROBRAS;Rio de Janeiro;1994;29
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1994;18
CST-COMPANHIA SIDERURGICA DE TUBARAO;Espírito Santo;1994;13
QUINTILIANO DINIZ DE DEUS;Minas Gerais;1994;11
ADEMIR DE NICOLAI;São Paulo;1994;10
CIBIE DO BRASIL LTDA;São Paulo;1994;10
TUBOS E CONEXOES TIGRE;Santa Catarina;1994;10
CLAUDINEY PEREIRA DINIZ;Minas Gerais;1994;9
CLAUDIO LOURENCO LORENZETTI;São Paulo;1994;9
INDUSTRIAS JOAO MAGGION S A;São Paulo;1994;9
LARUS TURBO LTDA;Paraná;1994;9
LUIZ JORGE COELHO LEAL;Rio Grande do Norte;1994;9
MENDES JUNIOR SIDERURGICA S A;Minas Gerais;1994;9
COMPANHIA SIDERURGICA PAULISTA COSIPA;São Paulo;1994;8
CSN;Rio de Janeiro;1995;20
PETROBRAS;Rio de Janeiro;1995;18
IVO SIEDLER;São Paulo;1995;16
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1995;15
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1995;14
CARLOS MENDES NETO;São Paulo;1995;13
CST-COMPANHIA SIDERURGICA DE TUBARAO;Espírito Santo;1995;12
GENERAL MOTORS DO BRASIL LTDA;São Paulo;1995;12
SOPRANO ELETROMETALURGICA E HIDRAULICA LTDA;Rio Grande do Sul;1995;12
JORGE RUI FREITAS ESPIRITO SANTO;São Paulo;1995;11
LUIZ DE WETTERLE BONOW;Santa Catarina;1995;11
ANGELA MARIA FERREIRA FERRAREZI;São Paulo;1995;10
MIRELLA LEVI DANCONA;São Paulo;1995;10
PRODUTOS ELETRICOS CORONA LTDA;São Paulo;1995;10
COMPANHIA SIDERURGICA PAULISTA COSIPA;São Paulo;1995;9
PETROBRAS;Rio de Janeiro;1996;42
USIMINAS;Minas Gerais;1996;41
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1996;22
CLARISSA SELIGMAN GOLBERT;Rio Grande do Sul;1996;20
PAULO SERGIO ARIAS;Santa Catarina;1996;14
CIBIE DO BRASIL LTDA;São Paulo;1996;13
CLAUDIO LOURENCO LORENZETTI;São Paulo;1996;13
KIMBERLY CLARK KENKO INDUSTRIA E COMERCIO LTDA;São Paulo;1996;12
EMBRAPA;São Paulo;1996;11
SPRINGER CARRIER SA;Rio Grande do Sul;1996;11
WAHLER METALURGICA LTDA;São Paulo;1996;11
ARNO;São Paulo;1996;10
EMBRACO;Santa Catarina;1996;10
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1996;10
ROBERTO FRANCO GARCIA;Rio de Janeiro;1996;10
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1997;41
PETROBRAS;Rio de Janeiro;1997;41
ARNO;São Paulo;1997;28
ALOISIO RODRIGUES PEREIRA;Minas Gerais;1997;25
UNICAMP;São Paulo;1997;21
DORACIR DO NASCIMENTO;São Paulo;1997;17
USIMINAS;Minas Gerais;1997;17
EMBRAPA;São Paulo;1997;16
UFMG;Minas Gerais;1997;15
CLAUDIO LOURENCO LORENZETTI;São Paulo;1997;12
ELECTROLUX;Paraná;1997;12
EMBRACO;Santa Catarina;1997;12
PAULO SERGIO ARIAS;Santa Catarina;1997;12
WAHLER METALURGICA LTDA;São Paulo;1997;11
BENEDICTO GONCALVES CAMPOS;São Paulo;1997;10
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1998;31
PETROBRAS;Rio de Janeiro;1998;31
UNICAMP;São Paulo;1998;27
ARNO;São Paulo;1998;19
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1998;18
SPRINGER CARRIER SA;Rio Grande do Sul;1998;16
CLAUDIO LOURENCO LORENZETTI;São Paulo;1998;11
EMBRACO;Santa Catarina;1998;11
OTONI MOREIRA GOMES;Minas Gerais;1998;10
SOUZA CRUZ S A;Rio de Janeiro;1998;10
MAQUINAS AGRICOLAS JACTO SA;São Paulo;1998;9
RAUL WOSNIAK;São Paulo;1998;9
ALDO ALVIM DE REZENDE CHAVES;Rio de Janeiro;1998;8
INSTITUTO DE TECNOLOGIA LACTEC;Paraná;1998;8
JOAO EDIVALDO RODRIGUES;São Paulo;1998;8
PETROBRAS;Rio de Janeiro;1999;31
ARNO;São Paulo;1999;26
ELECTROLUX;Paraná;1999;19
CLAUDIO LOURENCO LORENZETTI;São Paulo;1999;18
UNICAMP;São Paulo;1999;18
COMPANHIA VALE DO RIO DOCE;Minas Gerais;1999;16
MAQUINAS AGRICOLAS JACTO SA;São Paulo;1999;15
EMBRACO;Santa Catarina;1999;14
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;1999;14
ANDRZEJ JOSEF MALIK;São Paulo;1999;12
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS ECT;Distrito Federal;1999;12
JOHNSON & JOHNSON;São Paulo;1999;12
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;1999;12
SPRINGER CARRIER SA;Rio Grande do Sul;1999;12
MATHEUS RODRIGUES;São Paulo;1999;11
UNICAMP;São Paulo;2000;39
ARNO;São Paulo;2000;38
PETROBRAS;Rio de Janeiro;2000;35
MAQUINAS AGRICOLAS JACTO SA;São Paulo;2000;24
DANA INDUSTRIAL;São Paulo;2000;20
USIMINAS;Minas Gerais;2000;18
JOHNSON & JOHNSON;São Paulo;2000;17
JOSE LUIZ PARREIRA FIUZA;Rio de Janeiro;2000;17
JOSE RAIMUNDO DOS SANTOS;São Paulo;2000;17
FUNDACAO OSWALDO CRUZ;Rio de Janeiro;2000;15
EMBRACO;Santa Catarina;2000;14
EMBRAPA;Distrito Federal;2000;14
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2000;14
ALVARO COELHO DA SILVA;São Paulo;2000;13
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2000;13
PETROBRAS;Rio de Janeiro;2001;35
EMBRACO;Santa Catarina;2001;30
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2001;27
DANA INDUSTRIAL;São Paulo;2001;23
UNICAMP;São Paulo;2001;21
JOSE RAIMUNDO DOS SANTOS;São Paulo;2001;17
UFMG;Minas Gerais;2001;17
SEMEATO INDUSTRIA E COMERCIO;Rio Grande do Sul;2001;16
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2001;15
ARNO;São Paulo;2001;14
JOHNSON & JOHNSON;São Paulo;2001;12
EMBRAPA;Distrito Federal;2001;11
USIMINAS;Minas Gerais;2001;11
ACHE LABORATORIOS FARMACEUTICOS S A;São Paulo;2001;10
CLAUDIO LOURENCO LORENZETTI;São Paulo;2001;10
UNICAMP;São Paulo;2002;60
PETROBRAS;Rio de Janeiro;2002;44
ARNO;São Paulo;2002;29
MULTIBRAS SA ELETRODOMESTICOS;São Paulo;2002;28
COMPANHIA VALE DO RIO DOCE;Minas Gerais;2002;27
FAPESP;São Paulo;2002;25
UFMG;Minas Gerais;2002;25
DANA INDUSTRIAL;São Paulo;2002;21
UFRJ;Rio de Janeiro;2002;19
