Estado;Região;Ano;Depósitos
São Paulo;Sudeste;1993;2519
Rio de Janeiro;Sudeste;1993;540
Rio Grande do Sul;Sul;1993;419
Minas Gerais;Sudeste;1993;384
Paraná;Sul;1993;289
Santa Catarina;Sul;1993;236
Bahia;Nordeste;1993;69
Distrito Federal;Centro-Oeste;1993;65
Espírito Santo;Sudeste;1993;53
Mato Grosso do Sul;Centro-Oeste;1993;49
Pernambuco;Nordeste;1993;48
Ceará;Nordeste;1993;47
Goiás;Centro-Oeste;1993;40
Paraíba;Nordeste;1993;24
Mato Grosso;Centro-Oeste;1993;21
Pará;Norte;1993;16
Maranhão;Nordeste;1993;13
Amazonas;Norte;1993;11
Rondônia;Norte;1993;10
Rio Grande do Norte;Nordeste;1993;9
Alagoas;Nordeste;1993;6
Sergipe;Nordeste;1993;4
Piauí;Nordeste;1993;3
Acre;Norte;1993;
Amapá;Norte;1993;
Roraima;Norte;1993;
Tocantins;Norte;1993;
São Paulo;Sudeste;1994;2247
Rio de Janeiro;Sudeste;1994;477
Minas Gerais;Sudeste;1994;376
Rio Grande do Sul;Sul;1994;353
Paraná;Sul;1994;323
Santa Catarina;Sul;1994;211
Distrito Federal;Centro-Oeste;1994;88
Bahia;Nordeste;1994;56
Espírito Santo;Sudeste;1994;56
Goiás;Centro-Oeste;1994;56
Ceará;Nordeste;1994;51
Pernambuco;Nordeste;1994;48
Mato Grosso do Sul;Centro-Oeste;1994;35
Paraíba;Nordeste;1994;22
Mato Grosso;Centro-Oeste;1994;20
Rio Grande do Norte;Nordeste;1994;18
Pará;Norte;1994;17
Maranhão;Nordeste;1994;15
Amazonas;Norte;1994;13
Alagoas;Nordeste;1994;7
Rondônia;Norte;1994;7
Sergipe;Nordeste;1994;7
Amapá;Norte;1994;2
Piauí;Nordeste;1994;1
Acre;Norte;1994;
Roraima;Norte;1994;
Tocantins;Norte;1994;
São Paulo;Sudeste;1995;2658
Minas Gerais;Sudeste;1995;555
Rio de Janeiro;Sudeste;1995;540
Rio Grande do Sul;Sul;1995;455
Paraná;Sul;1995;376
Santa Catarina;Sul;1995;264
Distrito Federal;Centro-Oeste;1995;103
Bahia;Nordeste;1995;99
Espírito Santo;Sudeste;1995;92
Pernambuco;Nordeste;1995;78
Goiás;Centro-Oeste;1995;54
Ceará;Nordeste;1995;53
Mato Grosso do Sul;Centro-Oeste;1995;42
Rio Grande do Norte;Nordeste;1995;27
Pará;Norte;1995;18
Amazonas;Norte;1995;15
Maranhão;Nordeste;1995;14
Mato Grosso;Centro-Oeste;1995;14
Rondônia;Norte;1995;14
Sergipe;Nordeste;1995;14
Paraíba;Nordeste;1995;10
Alagoas;Nordeste;1995;8
Piauí;Nordeste;1995;4
Tocantins;Norte;1995;2
Acre;Norte;1995;
Amapá;Norte;1995;
Roraima;Norte;1995;
São Paulo;Sudeste;1996;2582
Rio Grande do Sul;Sul;1996;528
Minas Gerais;Sudeste;1996;488
Rio de Janeiro;Sudeste;1996;461
Paraná;Sul;1996;364
Santa Catarina;Sul;1996;334
Distrito Federal;Centro-Oeste;1996;76
Espírito Santo;Sudeste;1996;73
Goiás;Centro-Oeste;1996;71
Ceará;Nordeste;1996;69
Pernambuco;Nordeste;1996;54
Bahia;Nordeste;1996;51
Mato Grosso do Sul;Centro-Oeste;1996;39
Paraíba;Nordeste;1996;27
Pará;Norte;1996;22
Amazonas;Norte;1996;20
Rio Grande do Norte;Nordeste;1996;14
Maranhão;Nordeste;1996;11
Mato Grosso;Centro-Oeste;1996;8
Sergipe;Nordeste;1996;8
Alagoas;Nordeste;1996;7
Rondônia;Norte;1996;5
Tocantins;Norte;1996;5
Piauí;Nordeste;1996;4
Roraima;Norte;1996;2
Acre;Norte;1996;
Amapá;Norte;1996;
São Paulo;Sudeste;1997;2664
Minas Gerais;Sudeste;1997;548
Rio Grande do Sul;Sul;1997;456
Rio de Janeiro;Sudeste;1997;450
Paraná;Sul;1997;410
Santa Catarina;Sul;1997;309
Distrito Federal;Centro-Oeste;1997;109
Espírito Santo;Sudeste;1997;99
Goiás;Centro-Oeste;1997;76
Bahia;Nordeste;1997;60
Pernambuco;Nordeste;1997;59
Ceará;Nordeste;1997;52
Mato Grosso do Sul;Centro-Oeste;1997;32
Rio Grande do Norte;Nordeste;1997;22
Pará;Norte;1997;20
Maranhão;Nordeste;1997;19
Paraíba;Nordeste;1997;19
Alagoas;Nordeste;1997;13
Mato Grosso;Centro-Oeste;1997;11
Sergipe;Nordeste;1997;10
Rondônia;Norte;1997;8
Amazonas;Norte;1997;6
Tocantins;Norte;1997;6
Piauí;Nordeste;1997;5
Amapá;Norte;1997;1
Acre;Norte;1997;
Roraima;Norte;1997;
São Paulo;Sudeste;1998;2590
Rio Grande do Sul;Sul;1998;494
Minas Gerais;Sudeste;1998;462
Rio de Janeiro;Sudeste;1998;427
Paraná;Sul;1998;393
Santa Catarina;Sul;1998;278
Bahia;Nordeste;1998;113
Espírito Santo;Sudeste;1998;88
Pernambuco;Nordeste;1998;88
Distrito Federal;Centro-Oeste;1998;84
Ceará;Nordeste;1998;55
Goiás;Centro-Oeste;1998;50
Rio Grande do Norte;Nordeste;1998;26
Mato Grosso;Centro-Oeste;1998;22
Pará;Norte;1998;22
Paraíba;Nordeste;1998;19
Amazonas;Norte;1998;18
Mato Grosso do Sul;Centro-Oeste;1998;16
Maranhão;Nordeste;1998;10
Alagoas;Nordeste;1998;6
Sergipe;Nordeste;1998;6
Rondônia;Norte;1998;5
Piauí;Nordeste;1998;2
Amapá;Norte;1998;1
Tocantins;Norte;1998;1
Acre;Norte;1998;
Roraima;Norte;1998;
São Paulo;Sudeste;1999;2855
Rio Grande do Sul;Sul;1999;520
Minas Gerais;Sudeste;1999;519
Paraná;Sul;1999;503
Rio de Janeiro;Sudeste;1999;485
