Campo_Tec;Area_Tec;Ano;Depósitos
Mobiliário - jogos;Outras áreas;1993;634
Outros bens de consumo;Outras áreas;1993;455
Engenharia civil;Outras áreas;1993;436
Manejo;Engenharia mecânica;1993;420
Transporte;Engenharia mecânica;1993;419
Outras maquinas especiais;Engenharia mecânica;1993;288
Tecnologia aplicada a medicina;Instrumentos;1993;263
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1993;252
Elementos mecânicos;Engenharia mecânica;1993;225
Máquinas ferramentas;Engenharia mecânica;1993;154
Tecnologia audiovisual;Engenharia elétrica;1993;133
Medição;Instrumentos;1993;127
Controle;Instrumentos;1993;107
Aparelhos e processos térmicos;Engenharia mecânica;1993;107
Motores - bombas - turbinas;Engenharia mecânica;1993;105
Telecomunicações;Engenharia elétrica;1993;102
Máquinas têxteis e de papel;Engenharia mecânica;1993;97
Engenharia química;Química;1993;80
Tecnologia aplicada ao meio ambiente;Química;1993;79
Materiais - metalurgia;Química;1993;72
Química de materiais básicos;Química;1993;54
Tecnologia da computação;Engenharia elétrica;1993;49
Tecnologia de superfícies e revestimentos;Química;1993;41
Química de alimentos;Química;1993;37
Produtos farmacêuticos;Química;1993;28
Ótica;Instrumentos;1993;22
Química macromolecular e polímeros;Química;1993;21
Química orgânica fina;Química;1993;15
Análise de material biológico;Instrumentos;1993;11
Biotecnologia;Química;1993;10
Processos básicos de comunicação;Engenharia elétrica;1993;8
Comunicação digital;Engenharia elétrica;1993;4
Semicondutores;Engenharia elétrica;1993;1
Métodos de gestão em TI;Engenharia elétrica;1993;
Microestruturas e nanotecnologia;Química;1993;
Mobiliário - jogos;Outras áreas;1994;550
Transporte;Engenharia mecânica;1994;427
Engenharia civil;Outras áreas;1994;426
Manejo;Engenharia mecânica;1994;417
Outros bens de consumo;Outras áreas;1994;398
Outras maquinas especiais;Engenharia mecânica;1994;267
Elementos mecânicos;Engenharia mecânica;1994;222
Tecnologia aplicada a medicina;Instrumentos;1994;215
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1994;200
Máquinas ferramentas;Engenharia mecânica;1994;162
Tecnologia audiovisual;Engenharia elétrica;1994;149
Controle;Instrumentos;1994;127
Aparelhos e processos térmicos;Engenharia mecânica;1994;99
Engenharia química;Química;1994;97
Medição;Instrumentos;1994;95
Motores - bombas - turbinas;Engenharia mecânica;1994;87
Telecomunicações;Engenharia elétrica;1994;87
Máquinas têxteis e de papel;Engenharia mecânica;1994;70
Tecnologia da computação;Engenharia elétrica;1994;65
Materiais - metalurgia;Química;1994;59
Tecnologia aplicada ao meio ambiente;Química;1994;58
Química de materiais básicos;Química;1994;43
Tecnologia de superfícies e revestimentos;Química;1994;40
Ótica;Instrumentos;1994;38
Química de alimentos;Química;1994;37
Produtos farmacêuticos;Química;1994;24
Biotecnologia;Química;1994;9
Processos básicos de comunicação;Engenharia elétrica;1994;9
Química macromolecular e polímeros;Química;1994;7
Química orgânica fina;Química;1994;5
Análise de material biológico;Instrumentos;1994;5
Semicondutores;Engenharia elétrica;1994;1
Métodos de gestão em TI;Engenharia elétrica;1994;
Comunicação digital;Engenharia elétrica;1994;
Microestruturas e nanotecnologia;Química;1994;
