Campo_Tec;Area_Tec;Ano;Depósitos
Química de materiais básicos;Química;1993;226
Química macromolecular e polímeros;Química;1993;194
Química orgânica fina;Química;1993;179
Tecnologia aplicada a medicina;Instrumentos;1993;172
Manejo;Engenharia mecânica;1993;115
Engenharia química;Química;1993;112
Máquinas têxteis e de papel;Engenharia mecânica;1993;107
Elementos mecânicos;Engenharia mecânica;1993;97
Transporte;Engenharia mecânica;1993;91
Outras maquinas especiais;Engenharia mecânica;1993;90
Produtos farmacêuticos;Química;1993;87
Materiais - metalurgia;Química;1993;80
Telecomunicações;Engenharia elétrica;1993;78
Tecnologia de superfícies e revestimentos;Química;1993;78
Máquinas ferramentas;Engenharia mecânica;1993;72
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1993;71
Medição;Instrumentos;1993;63
Biotecnologia;Química;1993;59
Engenharia civil;Outras áreas;1993;59
Ótica;Instrumentos;1993;56
Tecnologia da computação;Engenharia elétrica;1993;55
Outros bens de consumo;Outras áreas;1993;55
Aparelhos e processos térmicos;Engenharia mecânica;1993;46
Química de alimentos;Química;1993;45
Tecnologia audiovisual;Engenharia elétrica;1993;43
Motores - bombas - turbinas;Engenharia mecânica;1993;42
Mobiliário - jogos;Outras áreas;1993;23
Controle;Instrumentos;1993;22
Tecnologia aplicada ao meio ambiente;Química;1993;19
Processos básicos de comunicação;Engenharia elétrica;1993;14
Comunicação digital;Engenharia elétrica;1993;10
Análise de material biológico;Instrumentos;1993;9
Semicondutores;Engenharia elétrica;1993;8
Métodos de gestão em TI;Engenharia elétrica;1993;
Microestruturas e nanotecnologia;Química;1993;
Química de materiais básicos;Química;1994;224
Tecnologia aplicada a medicina;Instrumentos;1994;199
Química macromolecular e polímeros;Química;1994;178
Manejo;Engenharia mecânica;1994;176
Química orgânica fina;Química;1994;168
Produtos farmacêuticos;Química;1994;142
Telecomunicações;Engenharia elétrica;1994;128
Engenharia química;Química;1994;121
Outras maquinas especiais;Engenharia mecânica;1994;113
Máquinas têxteis e de papel;Engenharia mecânica;1994;112
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1994;98
Transporte;Engenharia mecânica;1994;94
Elementos mecânicos;Engenharia mecânica;1994;94
Máquinas ferramentas;Engenharia mecânica;1994;87
Ótica;Instrumentos;1994;86
Biotecnologia;Química;1994;84
Tecnologia de superfícies e revestimentos;Química;1994;79
Tecnologia da computação;Engenharia elétrica;1994;75
Materiais - metalurgia;Química;1994;61
Tecnologia audiovisual;Engenharia elétrica;1994;55
Outros bens de consumo;Outras áreas;1994;55
Medição;Instrumentos;1994;49
Engenharia civil;Outras áreas;1994;48
Motores - bombas - turbinas;Engenharia mecânica;1994;41
Aparelhos e processos térmicos;Engenharia mecânica;1994;41
Mobiliário - jogos;Outras áreas;1994;37
Química de alimentos;Química;1994;36
Tecnologia aplicada ao meio ambiente;Química;1994;32
Controle;Instrumentos;1994;28
Comunicação digital;Engenharia elétrica;1994;23
Processos básicos de comunicação;Engenharia elétrica;1994;20
Análise de material biológico;Instrumentos;1994;8
Semicondutores;Engenharia elétrica;1994;8
Métodos de gestão em TI;Engenharia elétrica;1994;
Microestruturas e nanotecnologia;Química;1994;
Química de materiais básicos;Química;1995;261
Tecnologia aplicada a medicina;Instrumentos;1995;236
Química macromolecular e polímeros;Química;1995;216
Química orgânica fina;Química;1995;214
Manejo;Engenharia mecânica;1995;211
Produtos farmacêuticos;Química;1995;181
Telecomunicações;Engenharia elétrica;1995;167
Outras maquinas especiais;Engenharia mecânica;1995;161
Máquinas têxteis e de papel;Engenharia mecânica;1995;148
Engenharia química;Química;1995;137
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1995;129
Transporte;Engenharia mecânica;1995;112
Elementos mecânicos;Engenharia mecânica;1995;112
Máquinas ferramentas;Engenharia mecânica;1995;110
Tecnologia de superfícies e revestimentos;Química;1995;110
Biotecnologia;Química;1995;100
Tecnologia da computação;Engenharia elétrica;1995;98
Materiais - metalurgia;Química;1995;97
Tecnologia audiovisual;Engenharia elétrica;1995;92
Ótica;Instrumentos;1995;73
Outros bens de consumo;Outras áreas;1995;66
Medição;Instrumentos;1995;63
Controle;Instrumentos;1995;63
Engenharia civil;Outras áreas;1995;59
Motores - bombas - turbinas;Engenharia mecânica;1995;54
Aparelhos e processos térmicos;Engenharia mecânica;1995;49
Química de alimentos;Química;1995;43
Mobiliário - jogos;Outras áreas;1995;39
Tecnologia aplicada ao meio ambiente;Química;1995;31
Comunicação digital;Engenharia elétrica;1995;27
Processos básicos de comunicação;Engenharia elétrica;1995;22
Análise de material biológico;Instrumentos;1995;11
Semicondutores;Engenharia elétrica;1995;4
Métodos de gestão em TI;Engenharia elétrica;1995;
Microestruturas e nanotecnologia;Química;1995;
Química de materiais básicos;Química;1996;427
Produtos farmacêuticos;Química;1996;327
Química orgânica fina;Química;1996;297
Tecnologia aplicada a medicina;Instrumentos;1996;272
Química macromolecular e polímeros;Química;1996;268
Manejo;Engenharia mecânica;1996;244
Telecomunicações;Engenharia elétrica;1996;221
Outras maquinas especiais;Engenharia mecânica;1996;198
Engenharia química;Química;1996;168
Máquinas têxteis e de papel;Engenharia mecânica;1996;163
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1996;160
Transporte;Engenharia mecânica;1996;142
Biotecnologia;Química;1996;141
Materiais - metalurgia;Química;1996;124
Elementos mecânicos;Engenharia mecânica;1996;122
Tecnologia audiovisual;Engenharia elétrica;1996;115
Tecnologia da computação;Engenharia elétrica;1996;109
Ótica;Instrumentos;1996;109
Máquinas ferramentas;Engenharia mecânica;1996;104
