País;Continente;Ano;Depósitos
 Australia;Oceania;1993;81
 Australia;Oceania;1994;89
 Australia;Oceania;1995;105
 Australia;Oceania;1996;100
 Australia;Oceania;1997;93
 Australia;Oceania;1998;126
 Australia;Oceania;1999;111
 Australia;Oceania;2000;208
 Australia;Oceania;2001;152
 Australia;Oceania;2002;158
 Australia;Oceania;2003;122
 Australia;Oceania;2004;174
 Australia;Oceania;2005;196
 Australia;Oceania;2006;199
 Australia;Oceania;2007;167
 Australia;Oceania;2008;138
 Australia;Oceania;2009;181
 Australia;Oceania;2010;179
 Australia;Oceania;2011;253
 Australia;Oceania;2012;218
 Australia;Oceania;2013;202
 Australia;Oceania;2014;179
 Australia;Oceania;2015;153
 Australia;Oceania;2016;152
 Austria;Europe;1993;32
 Austria;Europe;1994;45
 Austria;Europe;1995;62
 Austria;Europe;1996;75
 Austria;Europe;1997;65
 Austria;Europe;1998;88
 Austria;Europe;1999;96
 Austria;Europe;2000;72
 Austria;Europe;2001;89
 Austria;Europe;2002;69
 Austria;Europe;2003;74
 Austria;Europe;2004;84
 Austria;Europe;2005;87
 Austria;Europe;2006;102
 Austria;Europe;2007;124
 Austria;Europe;2008;111
 Austria;Europe;2009;183
 Austria;Europe;2010;196
 Austria;Europe;2011;217
 Austria;Europe;2012;225
 Austria;Europe;2013;222
 Austria;Europe;2014;235
 Austria;Europe;2015;230
 Austria;Europe;2016;196
 Belgium;Europe;1993;39
 Belgium;Europe;1994;84
 Belgium;Europe;1995;104
 Belgium;Europe;1996;77
 Belgium;Europe;1997;103
 Belgium;Europe;1998;133
 Belgium;Europe;1999;178
 Belgium;Europe;2000;130
 Belgium;Europe;2001;103
 Belgium;Europe;2002;101
 Belgium;Europe;2003;138
 Belgium;Europe;2004;141
 Belgium;Europe;2005;206
 Belgium;Europe;2006;264
 Belgium;Europe;2007;221
 Belgium;Europe;2008;227
 Belgium;Europe;2009;225
 Belgium;Europe;2010;293
 Belgium;Europe;2011;352
 Belgium;Europe;2012;326
 Belgium;Europe;2013;258
 Belgium;Europe;2014;313
 Belgium;Europe;2015;267
 Belgium;Europe;2016;285
 Brazil;Latin America;1993;4875
 Brazil;Latin America;1994;4506
 Brazil;Latin America;1995;5509
 Brazil;Latin America;1996;5331
 Brazil;Latin America;1997;5531
 Brazil;Latin America;1998;5343
 Brazil;Latin America;1999;6131
 Brazil;Latin America;2000;6224
 Brazil;Latin America;2001;6582
 Brazil;Latin America;2002;6649
 Brazil;Latin America;2003;7087
 Brazil;Latin America;2004;7348
 Brazil;Latin America;2005;7002
 Brazil;Latin America;2006;6833
 Brazil;Latin America;2007;6780
 Brazil;Latin America;2008;7083
 Brazil;Latin America;2009;7044
 Brazil;Latin America;2010;6526
 Brazil;Latin America;2011;6553
 Brazil;Latin America;2012;6503
 Brazil;Latin America;2013;6436
 Brazil;Latin America;2014;5433
 Brazil;Latin America;2015;5458
 Brazil;Latin America;2016;5796
 Canada;North America;1993;85
 Canada;North America;1994;95
 Canada;North America;1995;115
 Canada;North America;1996;162
 Canada;North America;1997;182
 Canada;North America;1998;226
 Canada;North America;1999;235
 Canada;North America;2000;210
 Canada;North America;2001;191
 Canada;North America;2002;194
 Canada;North America;2003;229
 Canada;North America;2004;204
 Canada;North America;2005;250
 Canada;North America;2006;209
 Canada;North America;2007;257
 Canada;North America;2008;271
 Canada;North America;2009;379
 Canada;North America;2010;383
 Canada;North America;2011;302
 Canada;North America;2012;281
 Canada;North America;2013;306
 Canada;North America;2014;249
 Canada;North America;2015;200
 Canada;North America;2016;164
 China;Asia;1993;9
 China;Asia;1994;9
 China;Asia;1995;19
 China;Asia;1996;11
 China;Asia;1997;19
 China;Asia;1998;14
 China;Asia;1999;28
 China;Asia;2000;44
 China;Asia;2001;36
 China;Asia;2002;50
 China;Asia;2003;56
 China;Asia;2004;66
 China;Asia;2005;104
 China;Asia;2006;136
 China;Asia;2007;165
 China;Asia;2008;224
 China;Asia;2009;379
 China;Asia;2010;681
 China;Asia;2011;523
 China;Asia;2012;479
 China;Asia;2013;625
 China;Asia;2014;766
 China;Asia;2015;997
 China;Asia;2016;740
 Denmark;Europe;1993;42
 Denmark;Europe;1994;62
 Denmark;Europe;1995;66
 Denmark;Europe;1996;94
 Denmark;Europe;1997;107
 Denmark;Europe;1998;108
 Denmark;Europe;1999;119
 Denmark;Europe;2000;82
 Denmark;Europe;2001;79
 Denmark;Europe;2002;101
 Denmark;Europe;2003;93
 Denmark;Europe;2004;130
 Denmark;Europe;2005;141
 Denmark;Europe;2006;175
 Denmark;Europe;2007;158
 Denmark;Europe;2008;190
 Denmark;Europe;2009;257
 Denmark;Europe;2010;268
 Denmark;Europe;2011;264
 Denmark;Europe;2012;294
 Denmark;Europe;2013;260
 Denmark;Europe;2014;197
 Denmark;Europe;2015;219
 Denmark;Europe;2016;222
 Finland;Europe;1993;35
 Finland;Europe;1994;49
 Finland;Europe;1995;67
 Finland;Europe;1996;84
 Finland;Europe;1997;124
 Finland;Europe;1998;144
 Finland;Europe;1999;169
 Finland;Europe;2000;222
 Finland;Europe;2001;212
 Finland;Europe;2002;193
 Finland;Europe;2003;187
 Finland;Europe;2004;207
 Finland;Europe;2005;230
 Finland;Europe;2006;243
 Finland;Europe;2007;181
 Finland;Europe;2008;201
 Finland;Europe;2009;189
 Finland;Europe;2010;211
 Finland;Europe;2011;232
 Finland;Europe;2012;188
 Finland;Europe;2013;236
 Finland;Europe;2014;197
 Finland;Europe;2015;155
 Finland;Europe;2016;168
 France;Europe;1993;291
 France;Europe;1994;367
 France;Europe;1995;538
 France;Europe;1996;668
 France;Europe;1997;906
 France;Europe;1998;987
 France;Europe;1999;1074
 France;Europe;2000;1043
 France;Europe;2001;954
 France;Europe;2002;835
 France;Europe;2003;971
 France;Europe;2004;1010
 France;Europe;2005;1127
 France;Europe;2006;1326
 France;Europe;2007;1315
 France;Europe;2008;1526
 France;Europe;2009;1666
 France;Europe;2010;1793
 France;Europe;2011;1759
 France;Europe;2012;1867
 France;Europe;2013;1786
 France;Europe;2014;1505
 France;Europe;2015;1452
 France;Europe;2016;1321
 Germany;Europe;1993;773
 Germany;Europe;1994;936
 Germany;Europe;1995;1123
 Germany;Europe;1996;1404
 Germany;Europe;1997;1779
 Germany;Europe;1998;2084
 Germany;Europe;1999;2158
 Germany;Europe;2000;2290
 Germany;Europe;2001;2122
 Germany;Europe;2002;1712
 Germany;Europe;2003;1893
 Germany;Europe;2004;1978
 Germany;Europe;2005;1997
 Germany;Europe;2006;2338
 Germany;Europe;2007;2248
 Germany;Europe;2008;2274
 Germany;Europe;2009;2549
 Germany;Europe;2010;2769
 Germany;Europe;2011;2911
 Germany;Europe;2012;2884
 Germany;Europe;2013;2642
 Germany;Europe;2014;2448
 Germany;Europe;2015;2079
 Germany;Europe;2016;2010
 India;Asia;1993;
 India;Asia;1994;
 India;Asia;1995;
 India;Asia;1996;3
 India;Asia;1997;
 India;Asia;1998;11
 India;Asia;1999;26
 India;Asia;2000;48
 India;Asia;2001;55
 India;Asia;2002;86
 India;Asia;2003;111
 India;Asia;2004;65
 India;Asia;2005;78
 India;Asia;2006;109
 India;Asia;2007;96
 India;Asia;2008;112
 India;Asia;2009;108
 India;Asia;2010;165
 India;Asia;2011;130
 India;Asia;2012;140
 India;Asia;2013;112
 India;Asia;2014;153
 India;Asia;2015;146
 India;Asia;2016;141
 Israel;Asia;1993;21
 Israel;Asia;1994;25
 Israel;Asia;1995;40
 Israel;Asia;1996;49
 Israel;Asia;1997;65
 Israel;Asia;1998;96
 Israel;Asia;1999;83
 Israel;Asia;2000;67
 Israel;Asia;2001;80
