mês_ano;publicações
1-1993;655
2-1993;657
3-1993;957
4-1993;831
5-1993;837
6-1993;875
7-1993;977
8-1993;1031
9-1993;771
10-1993;928
11-1993;813
12-1993;1053
1-1994;753
2-1994;736
3-1994;1009
4-1994;824
5-1994;935
6-1994;966
7-1994;858
8-1994;916
9-1994;1102
10-1994;907
11-1994;952
12-1994;1054
1-1995;962
2-1995;924
3-1995;1132
4-1995;1051
5-1995;1161
6-1995;1173
7-1995;1077
8-1995;1219
9-1995;1205
10-1995;1222
11-1995;1220
12-1995;1280
1-1996;1148
2-1996;1039
3-1996;1228
4-1996;1283
5-1996;1484
6-1996;1501
7-1996;1222
8-1996;1211
9-1996;1225
10-1996;1426
11-1996;1348
12-1996;1442
1-1997;1104
2-1997;1291
3-1997;1486
4-1997;1440
5-1997;1416
6-1997;1483
7-1997;1627
8-1997;1309
9-1997;1665
10-1997;1759
11-1997;1564
12-1997;1848
1-1998;1239
2-1998;1379
3-1998;1614
4-1998;1663
5-1998;1562
6-1998;1712
7-1998;1682
8-1998;1495
9-1998;1660
10-1998;1672
11-1998;1662
12-1998;1945
1-1999;1291
2-1999;1472
3-1999;1925
4-1999;1805
5-1999;1758
6-1999;1902
7-1999;1890
8-1999;1806
9-1999;1852
10-1999;1787
11-1999;1685
12-1999;2120
1-2000;1332
2-2000;1644
3-2000;1754
4-2000;1716
5-2000;1909
6-2000;1877
7-2000;1758
8-2000;1860
9-2000;1678
10-2000;1687
11-2000;1666
12-2000;1902
1-2001;1470
2-2001;1619
3-2001;1996
4-2001;1670
5-2001;1886
6-2001;1885
7-2001;1765
8-2001;1747
9-2001;1503
10-2001;1757
11-2001;1714
12-2001;1711
1-2002;1344
2-2002;1465
3-2002;1693
4-2002;1646
5-2002;1661
6-2002;1547
7-2002;1733
8-2002;1494
9-2002;1602
10-2002;1757
11-2002;1733
12-2002;1732
1-2003;1405
2-2003;1494
3-2003;1597
4-2003;1810
5-2003;1687
6-2003;1728
7-2003;2011
8-2003;1656
9-2003;1895
10-2003;2066
11-2003;1795
12-2003;2095
1-2004;1339
2-2004;1607
3-2004;2217
4-2004;1879
5-2004;1874
6-2004;2073
7-2004;2068
8-2004;1750
9-2004;1943
10-2004;1977
11-2004;1950
12-2004;2267
1-2005;1518
2-2005;1734
3-2005;2214
4-2005;1864
5-2005;2024
6-2005;2300
7-2005;2041
8-2005;1922
9-2005;2146
10-2005;1932
11-2005;1987
12-2005;2451
1-2006;1510
2-2006;1845
3-2006;2389
4-2006;2043
5-2006;2216
6-2006;2423
7-2006;2042
8-2006;2247
9-2006;2017
10-2006;2117
11-2006;2126
12-2006;2411
1-2007;1813
2-2007;1824
3-2007;2411
4-2007;2032
5-2007;2239
6-2007;2212
7-2007;2089
8-2007;2098
9-2007;1896
10-2007;2335
11-2007;2014
12-2007;2280
1-2008;1716
2-2008;1845
3-2008;2177
4-2008;2092
5-2008;2026
6-2008;2354
7-2008;2303
8-2008;2134
9-2008;2253
10-2008;2487
11-2008;2066
12-2008;2680
1-2009;1822
2-2009;2029
3-2009;2418
4-2009;2285
5-2009;2277
6-2009;2603
7-2009;2382
8-2009;2051
9-2009;2496
10-2009;2454
11-2009;2382
12-2009;3186
1-2010;1701
2-2010;2179
3-2010;3004
4-2010;2473
5-2010;2474
6-2010;2729
7-2010;2581
8-2010;2488
9-2010;2556
10-2010;2594
11-2010;2597
12-2010;3288
1-2011;2053
2-2011;2271
3-2011;2843
4-2011;2534
5-2011;2484
6-2011;2828
7-2011;2468
8-2011;2617
9-2011;2727
10-2011;2636
11-2011;2787
12-2011;3566
1-2012;2010
2-2012;2250
3-2012;2949
4-2012;2428
5-2012;2652
6-2012;2795
7-2012;2704
8-2012;2679
9-2012;2582
10-2012;2871
11-2012;2743
12-2012;3432
1-2013;2177
2-2013;2341
3-2013;3061
4-2013;2580
5-2013;2617
6-2013;2694
7-2013;2665
8-2013;2435
9-2013;2771
10-2013;2873
11-2013;2665
12-2013;3324
1-2014;1975
2-2014;2215
3-2014;3961
4-2014;2187
5-2014;2316
6-2014;2328
7-2014;2419
8-2014;2082
9-2014;2536
10-2014;2563
11-2014;2278
12-2014;3134
1-2015;1834
2-2015;1952
3-2015;2603
4-2015;2271
5-2015;2334
6-2015;2490
7-2015;2222
8-2015;1918
9-2015;2387
10-2015;2310
11-2015;2248
12-2015;2906
1-2016;1572
2-2016;1850
3-2016;2364
4-2016;2010
5-2016;2130
6-2016;2511
7-2016;2219
8-2016;2261
9-2016;2362
10-2016;2167
11-2016;2181
12-2016;2691
